Time[s],5651::Alt_Heading::Heading[Degrees],,Time[s],5651::mixed_position::Lat[Degrees],,Time[s],5651::mixed_position::Lon[Degrees]
2.803340,355.4900000,,2.803570,40.0098586,,2.803570,116.3802463
2.813340,355.4600000,,2.813570,40.0098599,,2.813570,116.3802462
2.823340,355.4300000,,2.823570,40.0098612,,2.823570,116.3802460
2.833330,355.3900000,,2.833560,40.0098625,,2.833560,116.3802459
2.843330,355.3600000,,2.843560,40.0098637,,2.843560,116.3802458
2.853330,355.3300000,,2.853570,40.0098650,,2.853570,116.3802456
2.863330,355.2900000,,2.863560,40.0098663,,2.863560,116.3802455
2.874470,355.2600000,,2.874700,40.0098676,,2.874700,116.3802453
2.883760,355.2300000,,2.883990,40.0098688,,2.883990,116.3802452
2.893740,355.1900000,,2.893970,40.0098701,,2.893970,116.3802450
2.903320,355.1600000,,2.903550,40.0098714,,2.903550,116.3802449
2.913330,355.1300000,,2.913560,40.0098727,,2.913560,116.3802447
2.923320,355.0900000,,2.923550,40.0098740,,2.923550,116.3802446
2.933320,355.0600000,,2.933550,40.0098752,,2.933550,116.3802445
2.943330,355.0300000,,2.943550,40.0098765,,2.943550,116.3802443
2.953310,355.0000000,,2.953540,40.0098778,,2.953540,116.3802442
2.963330,354.9700000,,2.963560,40.0098791,,2.963560,116.3802440
2.974460,354.9300000,,2.974680,40.0098804,,2.974680,116.3802438
2.983310,354.9000000,,2.983540,40.0098816,,2.983540,116.3802437
2.993320,354.8700000,,2.993550,40.0098829,,2.993550,116.3802435
3.003320,354.8400000,,3.003550,40.0098842,,3.003550,116.3802434
3.013330,354.8100000,,3.013560,40.0098855,,3.013560,116.3802432
3.023320,354.7800000,,3.023550,40.0098868,,3.023550,116.3802431
3.033320,354.7500000,,3.033550,40.0098880,,3.033550,116.3802429
3.043310,354.7200000,,3.043540,40.0098893,,3.043540,116.3802428
3.053320,354.6800000,,3.053550,40.0098906,,3.053550,116.3802426
3.063310,354.6500000,,3.063540,40.0098919,,3.063540,116.3802424
3.074440,354.6200000,,3.074670,40.0098932,,3.074670,116.3802423
3.083790,354.5900000,,3.084020,40.0098944,,3.084020,116.3802421
3.093950,354.5600000,,3.094180,40.0098957,,3.094180,116.3802419
3.103300,354.5300000,,3.103530,40.0098970,,3.103530,116.3802418
3.113290,354.4900000,,3.113520,40.0098983,,3.113520,116.3802416
3.123300,354.4600000,,3.123530,40.0098996,,3.123530,116.3802414
3.133300,354.4300000,,3.133520,40.0099008,,3.133520,116.3802413
3.143300,354.4000000,,3.143520,40.0099021,,3.143520,116.3802411
3.153290,354.3600000,,3.153520,40.0099034,,3.153520,116.3802409
3.163300,354.3300000,,3.163530,40.0099047,,3.163530,116.3802408
3.174430,354.3000000,,3.174660,40.0099060,,3.174660,116.3802406
3.183300,354.2700000,,3.183540,40.0099072,,3.183540,116.3802404
3.193290,354.2400000,,3.193520,40.0099085,,3.193520,116.3802403
3.203290,354.2000000,,3.203520,40.0099098,,3.203520,116.3802401
3.213290,354.1700000,,3.213530,40.0099111,,3.213530,116.3802399
3.223290,354.1400000,,3.223520,40.0099124,,3.223520,116.3802397
3.233300,354.1000000,,3.233530,40.0099137,,3.233530,116.3802396
3.243290,354.0700000,,3.243520,40.0099149,,3.243520,116.3802394
